Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
19.3107,20.4892,21.0213,24.8555,20.2985,19.1361,19.9362,19.493,14.9115,119.768,102.218,119.697,102.442,
14.8964,20.4629,19.2531,19.1103,20.2445,21.0666,19.4714,19.8173,24.7964,119.641,102.551,119.627,102.704,
14.8711,19.4523,24.7632,20.1948,20.4312,19.7169,19.0746,21.0985,19.1866,119.617,102.846,119.538,103.004,
20.1462,14.8411,21.1181,24.7087,19.4188,20.3971,19.5964,19.1302,19.0334,119.535,103.087,119.442,103.293,
20.3673,21.1397,24.6513,19.0824,14.8035,20.0684,18.9965,19.3763,19.4495,119.429,103.474,119.329,103.602,
18.9623,19.3594,20.3169,19.3416,24.5744,21.1609,19.9902,14.758,18.9935,119.322,103.7,119.22,103.871,
19.3063,18.913,19.2305,14.7291,18.9383,24.502,19.9179,21.1724,20.2549,119.143,103.901,119.095,104.156,
20.2246,24.4419,14.6883,18.8658,21.1782,19.0683,18.8447,19.8361,19.2377,119.097,104.225,118.974,104.412,
19.789,14.6491,18.8036,19.2028,24.3568,21.18,18.937,18.7771,20.1459,118.906,104.458,118.83,104.694,
19.6967,18.8114,14.5955,24.2669,18.7012,18.7276,21.1763,20.084,19.1224,118.814,104.683,118.676,104.972,
18.6221,21.1698,18.642,19.5857,24.1628,18.6547,14.5306,20.0144,19.0587,118.647,104.994,118.528,105.223,
19.0241,18.6048,24.0859,21.158,18.4921,19.4927,14.483,18.5119,19.9479,118.487,105.259,118.392,105.439,
18.4528,19.9019,14.4407,18.3534,19.4011,23.9738,18.9353,18.5095,21.1358,118.316,105.497,118.202,105.721,
18.8821,18.3395,19.8091,19.2928,18.4341,18.1505,23.8477,21.1102,14.3448,118.198,105.812,117.949,106.067,
23.7253,19.1518,21.081,17.9405,18.7526,19.6799,14.2758,18.3086,18.1578,117.984,106.174,117.781,106.281,
18.2575,23.6156,18.6861,17.7897,14.2235,19.0308,18.0707,21.0436,19.588,117.729,106.282,117.612,106.485,
14.1737,18.6096,18.1658,17.9817,17.6218,21.0123,18.9174,19.5055,23.4639,117.461,106.552,117.431,106.692,
17.8978,19.4478,18.5269,18.0755,23.372,17.4554,18.8085,14.088,20.9682,117.382,106.717,117.238,106.9,
14.0409,17.7739,19.3437,18.7015,17.973,23.2344,20.9261,17.2561,18.3986,117.165,106.943,117.006,107.136,
13.9583,19.2285,23.1029,18.3163,20.8754,17.0735,17.6055,17.8433,18.5276,116.911,107.285,116.79,107.342,
22.9752,19.1154,13.8682,16.895,20.8155,17.7381,17.4658,18.3902,18.1779,116.809,107.353,116.536,107.569,
18.1072,17.6429,18.9872,13.7752,18.2637,17.3255,16.6464,20.7381,22.7439,116.327,107.665,116.285,107.778,
