Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
1.25343,5.81732,7.17763,100.884,104.111,100.883,104.109,
1.25463,5.81612,7.17478,100.883,104.108,100.882,104.106,
7.17208,1.25628,5.81447,100.882,104.105,100.88,104.102,
1.25733,7.16864,5.81328,100.88,104.101,100.879,104.099,
5.81238,1.25868,7.16519,100.878,104.098,100.877,104.096,
1.26003,7.16219,5.81058,100.877,104.094,100.876,104.092,
7.15919,5.80923,1.26198,100.875,104.091,100.874,104.089,
7.1559,1.26318,5.80788,100.874,104.087,100.873,104.085,
7.1526,1.26467,5.80638,100.872,104.084,100.871,104.082,
7.1493,1.26617,5.80503,100.871,104.08,100.869,104.078,
7.14555,1.26782,5.80353,100.869,104.076,100.868,104.074,
1.26902,7.14196,5.80218,100.867,104.073,100.866,104.071,
7.13896,1.27082,5.80083,100.866,104.069,100.864,104.067,
1.27202,7.13536,5.79949,100.864,104.066,100.863,104.064,
5.79859,7.13206,1.27397,100.862,104.062,100.861,104.06,
7.12891,1.27547,5.79679,100.861,104.059,100.86,104.056,
5.79589,1.27697,7.12487,100.859,104.055,100.858,104.053,
5.79439,1.27861,7.12142,100.857,104.051,100.856,104.049,
1.28011,5.79274,7.11782,100.855,104.047,100.855,104.045,
1.28161,5.79154,7.11482,100.854,104.044,100.853,104.042,
5.79019,7.11168,1.28386,100.852,104.04,100.852,104.038,
7.10883,5.78854,1.28536,100.851,104.037,100.85,104.035,
5.78749,7.10508,1.28686,100.849,104.033,100.848,104.031,
7.10223,1.28836,5.78569,100.848,104.03,100.847,104.028,
5.7848,7.09849,1.29016,100.846,104.026,100.845,104.024,
7.09564,1.29166,5.783,100.845,104.023,100.844,104.021,
5.7821,1.29345,7.09144,100.843,104.019,100.842,104.017,
7.08874,1.2951,5.7803,100.842,104.015,100.841,104.013,
7.08544,1.29675,5.7791,100.84,104.012,100.839,104.01,
7.08245,1.2984,5.77775,100.839,104.009,100.838,104.006,
7.07945,1.30005,5.7764,100.838,104.005,100.836,104.003,
5.7755,1.30155,7.0754,100.835,104.001,100.835,104,
7.073,1.30335,5.77385,100.835,103.998,100.833,103.996,
1.305,7.06911,5.7725,100.833,103.994,100.832,103.992,
7.06626,5.7713,1.30725,100.831,103.991,100.83,103.989,
5.77011,7.06266,1.30889,100.829,103.987,100.829,103.986,
7.05981,5.76861,1.31069,100.828,103.984,100.827,103.982,
1.31189,5.76726,7.05577,100.826,103.98,100.825,103.978,
7.05307,1.31399,5.76561,100.825,103.977,100.824,103.975,
7.05007,1.31579,5.76441,100.824,103.973,100.822,103.971,
1.31729,5.76336,7.04587,100.821,103.97,100.821,103.968,
5.76216,1.31939,7.04272,100.82,103.966,100.819,103.964,
7.04003,1.32149,5.76051,100.819,103.963,100.818,103.96,
7.03688,1.32313,5.75901,100.818,103.959,100.816,103.957,
5.75811,7.03283,1.32538,100.815,103.955,100.814,103.953,
1.32688,7.02968,5.75631,100.814,103.952,100.813,103.95,
7.02729,1.32868,5.75512,100.813,103.949,100.812,103.946,
7.02399,1.33048,5.75392,100.811,103.945,100.81,103.943,
7.02039,5.75257,1.33288,100.81,103.941,100.808,103.939,
7.01709,1.33468,5.75122,100.808,103.938,100.807,103.935,
7.01379,5.74987,1.33677,100.807,103.934,100.805,103.932,
5.74882,7.01005,1.33857,100.805,103.93,100.804,103.928,
5.74732,7.0069,1.34067,100.803,103.927,100.802,103.924,
1.34202,5.74597,7.003,100.801,103.923,100.801,103.921,
7.00075,5.74462,1.34442,100.8,103.92,100.799,103.918,
5.74342,1.34622,6.99671,100.798,103.916,100.798,103.914,
5.74192,6.99356,1.34862,100.797,103.912,100.796,103.91,
6.99086,1.35027,5.74043,100.796,103.909,100.795,103.907,
6.98756,1.35236,5.73908,100.794,103.905,100.793,103.903,
1.35386,6.98397,5.73773,100.793,103.902,100.792,103.9,
6.98112,1.35626,5.73653,100.791,103.898,100.79,103.896,
6.97812,5.73548,1.35836,100.79,103.895,100.789,103.893,
6.97467,5.73398,1.36046,100.788,103.891,100.787,103.889,
1.36211,6.97092,5.73248,100.787,103.887,100.786,103.885,
1.36436,5.73128,6.96703,100.785,103.883,100.784,103.881,
5.73008,6.96433,1.3669,100.783,103.88,100.783,103.878,
6.96178,1.3684,5.72873,100.782,103.877,100.781,103.875,
1.37035,5.72739,6.95758,100.78,103.873,100.78,103.871,
1.37215,6.95504,5.72604,100.779,103.87,100.778,103.868,
5.72514,6.95174,1.375,100.777,103.866,100.777,103.864,
1.37665,5.72349,6.94784,100.776,103.862,100.775,103.86,
5.72244,6.94499,1.37935,100.774,103.859,100.774,103.857,
1.38084,5.72094,6.94139,100.773,103.855,100.772,103.853,
5.71974,6.93885,1.38354,100.772,103.852,100.771,103.85,
5.71854,1.38519,6.9348,100.769,103.848,100.769,103.845,
5.71674,1.38819,6.9309,100.768,103.843,100.767,103.841,
6.92865,1.39014,5.71524,100.767,103.84,100.766,103.838,
1.39224,5.71389,6.92446,100.765,103.836,100.764,103.834,
1.39433,5.7124,6.92041,100.763,103.832,100.762,103.829,
5.71105,1.39763,6.91681,100.761,103.828,100.761,103.826,
5.70985,1.39973,6.91366,100.76,103.824,100.759,103.822,
5.70835,6.91052,1.40243,100.758,103.82,100.758,103.818,
6.90767,1.40453,5.70685,100.757,103.817,100.756,103.815,
5.70595,1.40678,6.90377,100.755,103.813,100.755,103.811,
1.40857,6.90077,5.70415,100.754,103.809,100.753,103.807,
6.89777,5.7031,1.41142,100.753,103.806,100.752,103.804,
1.41337,5.7013,6.89313,100.751,103.801,100.749,103.798,
1.41667,5.6998,6.88893,100.748,103.797,100.748,103.795,
1.41877,6.88653,5.69846,100.748,103.794,100.747,103.791,
5.69756,6.88323,1.42162,100.746,103.79,100.745,103.788,
5.69606,6.87994,1.42401,100.744,103.786,100.744,103.784,
1.42566,5.69471,6.87649,100.743,103.783,100.742,103.781,
5.69366,6.87394,1.42836,100.742,103.779,100.741,103.777,
1.42986,6.87094,5.69216,100.74,103.776,100.74,103.774,
6.86825,1.43241,5.69096,100.739,103.773,100.738,103.771,
5.69006,1.43466,6.86435,100.737,103.769,100.737,103.767,
5.68856,6.86135,1.43735,100.736,103.765,100.735,103.763,
1.4393,6.85805,5.68691,100.735,103.762,100.734,103.759,
1.4417,5.68571,6.8543,100.733,103.758,100.732,103.756,
5.68466,6.85146,1.4447,100.731,103.754,100.731,103.752,
5.68347,1.4468,6.84786,100.73,103.75,100.729,103.749,
1.44875,5.68182,6.84486,100.728,103.747,100.728,103.745,
1.4513,5.68062,6.84156,100.727,103.743,100.726,103.741,
1.45369,5.67942,6.83842,100.725,103.74,100.725,103.738,
1.45624,5.67792,6.83497,100.724,103.736,100.723,103.734,
6.83242,5.67672,1.45939,100.723,103.732,100.722,103.73,
6.82897,5.67522,1.46179,100.721,103.728,100.72,103.726,
6.82612,5.67417,1.46404,100.72,103.725,100.719,103.723,
1.46584,6.82268,5.67267,100.718,103.722,100.717,103.719,
5.67177,6.81953,1.46883,100.717,103.718,100.716,103.716,
1.47093,5.67042,6.81578,100.715,103.714,100.715,103.712,
1.47348,6.81278,5.66878,100.714,103.71,100.713,103.708,
5.66758,6.80889,1.47693,100.712,103.706,100.711,103.704,
5.66638,1.47918,6.80544,100.71,103.702,100.71,103.7,
1.48142,5.66473,6.80214,100.709,103.698,100.708,103.697,
6.80004,1.48412,5.66338,100.708,103.695,100.707,103.693,
1.48637,5.66233,6.796,100.706,103.691,100.706,103.69,
5.66128,6.793,1.48952,100.705,103.688,100.704,103.686,
1.49132,6.79,5.65978,100.704,103.684,100.703,103.682,
1.49387,5.65843,6.7864,100.702,103.68,100.701,103.679,
5.65753,6.7837,1.49686,100.701,103.677,100.7,103.675,
5.65618,6.78056,1.49956,100.699,103.674,100.698,103.671,
6.77771,1.50181,5.65469,100.698,103.67,100.697,103.668,
6.77456,1.50421,5.65349,100.697,103.667,100.695,103.664,
1.50646,6.77111,5.65199,100.695,103.663,100.694,103.661,
5.65139,6.76826,1.5096,100.694,103.659,100.693,103.657,
5.65019,6.76512,1.512,100.692,103.656,100.691,103.654,
5.64884,1.5141,6.76167,100.691,103.652,100.69,103.65,
5.64749,6.75882,1.5171,100.689,103.649,100.689,103.647,
5.64629,6.75567,1.51965,100.688,103.645,100.687,103.643,
5.64509,1.5219,6.75238,100.686,103.641,100.686,103.64,
6.75028,5.64374,1.52444,100.686,103.639,100.685,103.636,
6.74728,5.64254,1.52699,100.684,103.635,100.683,103.633,
1.52894,6.74368,5.64119,100.683,103.631,100.682,103.629,
6.74098,1.53179,5.64,100.682,103.628,100.68,103.626,
6.73829,1.53404,5.6388,100.68,103.625,100.679,103.622,
1.53659,5.63775,6.73424,100.678,103.621,100.678,103.619,
5.6367,6.73154,1.53973,100.677,103.617,100.676,103.615,
5.63535,1.54228,6.72794,100.675,103.613,100.675,103.611,
1.54453,6.72509,5.6337,100.674,103.61,100.673,103.608,
6.7221,1.54768,5.6325,100.673,103.606,100.672,103.604,
5.6316,1.55038,6.71835,100.671,103.602,100.671,103.6,
6.71625,5.63025,1.55307,100.67,103.599,100.669,103.597,
1.55502,5.62905,6.7122,100.668,103.595,100.668,103.593,
1.55787,5.62755,6.70891,100.667,103.591,100.666,103.589,
1.56072,6.70606,5.62621,100.666,103.588,100.665,103.585,
6.70351,1.56357,5.62501,100.665,103.584,100.664,103.582,
5.62411,1.56627,6.69976,100.663,103.581,100.662,103.579,
6.69751,5.62276,1.56911,100.662,103.577,100.661,103.575,
6.69482,1.57136,5.62156,100.661,103.574,100.66,103.572,
1.57376,5.62036,6.69062,100.659,103.57,100.658,103.568,
1.57646,5.61916,6.68762,100.657,103.566,100.657,103.564,
1.57916,6.68492,5.61781,100.656,103.563,100.656,103.561,
1.58171,5.61676,6.68162,100.655,103.559,100.654,103.557,
5.61586,1.5847,6.67878,100.653,103.556,100.653,103.554,
6.67623,5.61436,1.58785,100.653,103.553,100.651,103.55,
5.61331,6.67308,1.5904,100.651,103.549,100.65,103.547,
5.61211,1.5928,6.66948,100.649,103.545,100.649,103.543,
1.59505,5.61077,6.66648,100.648,103.542,100.647,103.54,
6.66424,1.59804,5.60927,100.647,103.538,100.646,103.535,
1.60134,6.65989,5.60792,100.645,103.534,100.644,103.532,
6.65689,5.60687,1.60494,100.644,103.53,100.643,103.528,
6.65404,1.60734,5.60552,100.643,103.527,100.642,103.524,
1.60974,5.60432,6.65015,100.641,103.523,100.64,103.521,
1.61243,6.6476,5.60312,100.64,103.519,100.639,103.517,
6.64505,1.61543,5.60192,100.639,103.516,100.638,103.513,
6.64175,5.60087,1.61873,100.637,103.512,100.636,103.51,
1.62053,6.63875,5.59952,100.636,103.509,100.635,103.507,
5.59862,1.62353,6.63531,100.634,103.505,100.633,103.503,
5.59742,1.62667,6.63201,100.633,103.501,100.632,103.499,
1.62892,5.59608,6.62901,100.631,103.498,100.631,103.495,
6.62646,5.59458,1.63297,100.631,103.494,100.629,103.491,
6.62287,1.63567,5.59323,100.629,103.49,100.628,103.488,
5.59233,1.63837,6.61912,100.627,103.486,100.626,103.484,
5.59098,6.61627,1.64181,100.626,103.482,100.625,103.48,
6.61387,5.58978,1.64451,100.625,103.479,100.624,103.477,
6.61102,1.64691,5.58843,100.624,103.476,100.622,103.473,
5.58738,1.65006,6.60683,100.622,103.471,100.621,103.469,
5.58633,1.65276,6.60353,100.62,103.468,100.619,103.465,
1.65605,6.60023,5.58453,100.619,103.463,100.618,103.461,
6.59798,1.6589,5.58333,100.618,103.46,100.617,103.458,
1.6613,5.58229,6.59453,100.616,103.456,100.616,103.455,
