Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
6.12986,5.00638,5.4856,101.257,95.0014,101.259,95,
5.4868,6.13076,5.00668,101.26,94.9999,101.263,95,
6.13136,5.00683,5.48875,101.264,95.0019,101.266,95,
5.00698,6.13225,5.49025,101.268,95.0009,101.27,95,
5.00728,6.13315,5.49205,101.272,95.0011,101.275,95,
5.4934,5.00743,6.1342,101.276,94.9987,101.278,95,
6.13465,5.00758,5.49535,101.281,95.0017,101.282,95,
6.13555,5.00788,5.49684,101.284,95.001,101.286,95,
6.1363,5.00818,5.49864,101.288,95.0021,101.29,95,
5.00833,5.49999,6.1375,101.292,94.9989,101.294,95,
5.50164,6.1384,5.00863,101.295,94.9986,101.299,95,
6.13915,5.50389,5.00893,101.301,95.001,101.303,95,
5.50509,6.14005,5.00908,101.304,94.9991,101.307,95,
5.00938,6.14095,5.50734,101.309,95.0005,101.311,95,
6.14155,5.50869,5.00968,101.312,95.0013,101.315,95,
5.51019,5.00983,6.1426,101.316,94.9994,101.318,95,
6.1432,5.51228,5.01013,101.321,95.0022,101.325,95,
5.01043,5.51438,6.1447,101.326,94.9996,101.328,95,
5.51558,5.01073,6.1456,101.329,94.9981,101.332,95,
5.01088,5.51768,6.14649,101.334,94.9987,101.336,95,
5.01118,5.51933,6.14709,101.338,95.0003,101.34,95,
5.01148,5.52083,6.14799,101.341,94.9997,101.343,95,
6.14859,5.01178,5.52263,101.345,95.0017,101.348,95,
5.52398,5.01208,6.14979,101.348,94.9988,101.351,95,
5.52547,5.01223,6.15069,101.352,94.9978,101.355,95,
6.15114,5.01253,5.52772,101.358,95.002,101.359,95,
5.01283,6.15234,5.52952,101.362,95.0004,101.363,95,
5.53057,6.15309,5.01313,101.364,94.9994,101.367,95,
5.01328,6.15384,5.53252,101.369,95.0006,101.371,95,
6.15459,5.01373,5.53417,101.372,95.0016,101.374,95,
5.01388,6.15564,5.53582,101.377,95.0001,101.378,95,
5.01418,5.53717,6.15639,101.38,95,101.382,95,
